iter	Passed	Remaining
0	166	82864
1	326	81291
2	498	82634
3	670	83086
4	843	83551
5	847	69770
6	1026	72301
7	1202	73953
8	1367	74612
9	1531	75021
10	1691	75210
11	1854	75424
12	2014	75473
13	2178	75608
14	2339	75635
15	2500	75626
16	2655	75438
17	2815	75380
18	2974	75313
19	3136	75277
20	3302	75335
21	3461	75211
22	3629	75262
23	3786	75108
24	3941	74895
25	4099	74740
26	4261	74655
27	4417	74470
28	4578	74368
29	4740	74261
30	4897	74091
31	5056	73953
32	5210	73742
33	5371	73620
34	5527	73438
35	5684	73270
36	5842	73114
37	6009	73059
38	6174	72987
39	6333	72833
40	6492	72682
41	6654	72565
42	6811	72393
43	6970	72236
44	7127	72069
45	7284	71894
46	7443	71739
47	7604	71605
48	7761	71436
49	7919	71276
50	8074	71088
51	8231	70918
52	8390	70768
53	8551	70625
54	8719	70548
55	8873	70353
56	9027	70157
57	9180	69961
58	9334	69767
59	9495	69635
60	9659	69513
61	9818	69361
62	9976	69201
63	10139	69075
64	10295	68902
65	10456	68761
66	10617	68617
67	10774	68452
68	10937	68321
69	11108	68238
70	11268	68087
71	11428	67936
72	11595	67823
73	11753	67663
74	11912	67502
75	12069	67336
76	12226	67167
77	12383	66996
78	12541	66832
79	12701	66682
80	12857	66511
81	13010	66323
82	13172	66180
83	13329	66011
84	13489	65862
85	13659	65755
86	13821	65614
87	13983	65466
88	14136	65280
89	14298	65135
90	14454	64964
91	14614	64811
92	14772	64651
93	14928	64479
94	15085	64313
95	15248	64169
96	15402	63992
97	15558	63822
98	15722	63685
99	15885	63543
100	16051	63413
101	16211	63254
102	16371	63099
103	16530	62944
104	16687	62776
105	16846	62617
106	17003	62450
107	17164	62301
108	17321	62135
109	17479	61974
110	17636	61808
111	17792	61639
112	17950	61476
113	18109	61316
114	18269	61161
115	18429	61006
116	18589	60852
117	18750	60702
118	18913	60556
119	19072	60396
120	19226	60220
121	19384	60061
122	19541	59896
123	19698	59730
124	19857	59573
125	20018	59419
126	20180	59271
127	20342	59119
128	20496	58948
129	20655	58789
130	20813	58626
131	20973	58471
132	21137	58326
133	21298	58173
134	21458	58018
135	21611	57842
136	21765	57671
137	21924	57511
138	22082	57349
139	22240	57188
140	22395	57021
141	22552	56857
142	22710	56697
143	22865	56528
144	23021	56362
145	23179	56203
146	23337	56042
147	23501	55894
148	23666	55751
149	23831	55607
150	23994	55458
151	24156	55304
152	24316	55148
153	24479	54999
154	24635	54834
155	24797	54681
156	24951	54512
157	25108	54349
158	25267	54189
159	25425	54029
160	25586	53873
161	25742	53709
162	25898	53544
163	26067	53406
164	26243	53283
165	26454	53228
166	26614	53069
167	26770	52904
168	26929	52744
169	27089	52584
170	27244	52417
171	27405	52261
172	27563	52099
173	27724	51942
174	27884	51786
175	28043	51624
176	28203	51467
177	28363	51308
178	28525	51153
179	28694	51012
180	28868	50878
181	29042	50744
182	29210	50598
183	29374	50447
184	29539	50297
185	29693	50127
186	29848	49960
187	30003	49792
188	30159	49628
189	30327	49482
190	30490	49327
191	30647	49163
192	30802	48997
193	30959	48832
194	31116	48669
195	31280	48517
196	31441	48359
197	31590	48184
198	31746	48019
199	31905	47858
200	32061	47692
201	32218	47530
202	32369	47358
203	32524	47192
204	32676	47022
205	32838	46866
206	32993	46700
207	33152	46540
208	33306	46373
209	33463	46211
210	33620	46048
211	33779	45889
212	33942	45734
213	34097	45569
214	34254	45407
215	34411	45245
216	34568	45082
217	34722	44916
218	34879	44753
219	35038	44594
220	35192	44428
221	35346	44262
222	35504	44102
223	35660	43938
224	35814	43773
225	35968	43607
226	36126	43447
227	36286	43289
228	36448	43133
229	36608	42974
230	36763	42811
